,hr_v,hr_ml,hr_ap,%det_v,%det_ml,%det_ap,sex_m1_f2,age,heigth,weigth,age_onset,duration_years,onset_1early_49_2_middle_50-69_3late_70_,ledd,postural_alteration_1si2no,falls_last_year_1si_2no,updrs-ii,updrs-iii,h-y,tilt,obliquity,rotation,stance,swing,double_support,single_support,stride_length,cadence,gait_speed,stipsi_1si_2no,iposmia_1si_2no,disturbo_sonno_rem_1si_2no,depressione_1si_2no,mesi_osservati,anni_osservati,cadute_con_frattura,sex_m1_f2_code,postural_alteration_1si2no_code,falls_last_year_1si_2no_code,stipsi_1si_2no_code,iposmia_1si_2no_code,disturbo_sonno_rem_1si_2no_code,depressione_1si_2no_code,total_falls,falls_month_rate,falls_year_rate,fallers_1_nonfaller_0,recurrent_fallers1_nonfallers_occasional0
age_onset,0.15212925480667766,0.22654185240346764,0.19902756211415407,-0.16962261129789116,-0.2568918206297236,-0.19303013567548954,-0.0008889431945304233,0.7986139324641778,-0.1769203996037359,0.03655248066037164,1.0,-0.5622298277722402,0.8822091049948017,-0.25281879656735007,0.3498446760115444,-0.13883442644072186,-0.11647091982449279,-0.13440159698495144,0.04840810023929882,-0.023702417668383914,0.008683979031391672,-0.22094346202381984,0.2517032016015175,-0.25877524293793214,0.2077416130869651,0.07256570243142267,-0.40697083264094125,-0.19985603666125049,-0.40234956275559447,-0.13705274696926018,-0.1765362420708556,0.03435809891650105,-0.15791375272975672,-0.31984227147392746,-0.3198422714739274,-0.015927174929299147,-0.0008862691874150856,0.34486408969601323,-0.13882410551371668,-0.13734042818881506,-0.18000228411828686,0.03005134614343451,-0.15891622792625548,-0.17707268442598992,-0.13952550193968521,-0.13952550193968521,-0.10414939309544102,-0.16618468152651233
duration_years,-0.28674336380072435,-0.18834557086443357,-0.226055404419528,0.14583429423311586,0.21515164187247152,0.2585009222266865,-0.10587725674127678,0.047002468772951625,0.05594565809652231,-0.09828401701967587,-0.5622298277722402,1.0,-0.5129337519386944,0.5022794668095224,-0.3575239561988053,-0.2028959957876316,0.44361979272833946,0.390934117994845,0.4103361709957539,0.04594705826883405,-0.12714694925707232,-0.18002320728304208,-0.01493248410117708,0.013210051640379646,0.008195212710373432,-0.0570722129975953,0.16161168003538995,0.0978244688978782,0.16873543305846994,-0.016288461062525666,0.04935918402972801,-0.3367388819364941,0.059350295679335856,0.2381579422304971,0.23815794223049688,0.18562491341760007,-0.1055587700937376,-0.35401794986479285,-0.20288091253475377,-0.014009579435440699,0.06005292893436631,-0.3356055189591943,0.059289335155541356,0.24193146391382755,0.177351903725134,0.17735190372513399,0.30624025756062767,0.24120180372898714
onset_1early_49_2_middle_50-69_3late_70_,0.20857401695455363,0.2253875135330019,0.2769233622272343,-0.24409979133249335,-0.3617819872543424,-0.2352107346484486,0.041281797797224386,0.6887450589396227,-0.13921803308077468,0.012046046955531258,0.8822091049948017,-0.5129337519386944,1.0,-0.27041370079850147,0.2645673048811722,-0.1752679753779623,-0.08027925248740904,-0.10874699786967158,0.03823184932970351,0.001211530810204388,0.06137636594689224,-0.13809188743892514,0.2454315412497409,-0.26110174813715326,0.25903066183587303,0.12190664916852,-0.27479581576346757,-0.2124780509896384,-0.2813161529036861,-0.11633487125118513,-0.14057770580062962,0.05058192283306822,-0.07797326992052382,-0.3454786889607485,-0.3454786889607484,-0.006488114289615822,0.04115761908510545,0.25697445896036675,-0.17525494598729469,-0.11626521673815239,-0.14320472347073276,0.04760049729309901,-0.07804226271865457,-0.14022537526102433,-0.12308310330177807,-0.1230831033017781,-0.12043990363987545,-0.09195898809455819
ledd,-0.21720472895372492,-0.13387226636822872,-0.23698032776295622,0.09450389235719463,0.09203908165064896,0.21071997981990243,-0.09807610562472001,0.05920824771259024,0.0025935858167784585,-0.1486550117002233,-0.25281879656735007,0.5022794668095224,-0.27041370079850147,1.0,-0.2991888654605845,-0.4485427624607675,0.5093670877563498,0.2909765799902971,0.4574457827818145,0.010484182587387201,-0.23810037443099324,-0.2711077458834167,0.04032889024622776,-0.0338509393562696,0.009297222512707662,-0.10324134059355919,0.16818016741662803,-0.13379041954060908,0.17021622565301872,-0.11144271641740093,-0.13020046169189906,-0.31354152307908734,0.02048310759989446,0.04298536698490496,0.04298536698490491,0.18655329098075477,-0.09778108541881848,-0.29253444564563136,-0.44850941787017334,-0.09743142780423897,-0.1076153993887303,-0.314228093814341,0.034158012711827335,0.4399346650938359,0.4257914780476258,0.4257914780476257,0.40899784184749405,0.3476927843951937
postural_alteration_1si2no,0.23522774394252852,0.0708981160812993,0.04600501069558484,-0.08686580623820628,-0.07119713702576702,-0.09467617809807895,0.08877787344423456,0.16415358060796598,-0.07996654708110927,-0.03850905425931702,0.3498446760115444,-0.3575239561988053,0.2645673048811722,-0.2991888654605845,1.0,0.06551221376500113,-0.26553273456473514,-0.31329664190724826,-0.2851819826103625,0.04111992841596626,0.0787287523110187,0.12068529576364793,0.03482298439702583,-0.03823992302136955,-0.017609161856160935,0.12974934301454236,-0.07949244916770365,0.015203663909151698,-0.08702000329786105,0.2721427398153598,0.12311497532496675,0.21018377192380572,0.014581226042780561,0.025790262876110352,0.025790262876110397,-0.0209293570058846,0.08851082301093921,0.9988998359443284,0.06550734359847576,0.26955852352064,0.12270913290157905,0.2070594021156316,0.02032900350407355,-0.18333702175294486,-0.16329100519812684,-0.1632910051981269,-0.11723610609116554,-0.16632194533973937
falls_last_year_1si_2no,0.16578730698321606,-0.014830551665955247,0.024407176344131695,0.044137293068678786,0.007556520499341713,-0.08252347608723475,0.017638624380876218,-0.31448703882704926,-0.04293842819212946,0.04080679254599673,-0.13883442644072186,-0.2028959957876316,-0.1752679753779623,-0.4485427624607675,0.06551221376500113,1.0,-0.38995058819642014,-0.3130202303485708,-0.4350882689774591,-0.013899208283410864,0.20964452819513582,0.2325241555087855,-0.2611830490778542,0.2599587626440052,-0.27909550764532637,0.12676657142752887,0.16301296034910073,0.0017543008725427781,0.16727046214050156,0.10595402158687289,0.13124061528009948,0.3044125768091895,0.03314057659498123,0.14473885679892706,0.14473885679892703,-0.2074773042278549,0.01758556608942467,0.05919104148035456,0.9999256601747152,0.09636603276873724,0.12312413978492234,0.3034709063969726,0.032035316134877784,-0.41585052969120745,-0.3937136748971451,-0.3937136748971451,-0.5071953355036988,-0.5698084975402437
updrs-ii,-0.33971662421054716,-0.0727049210280804,-0.3437350198716463,0.06966135550597896,-0.00511692005585742,0.0796182634981194,-0.1830564419585383,0.184386781112513,-0.10462391122811701,0.05039449882044793,-0.11647091982449279,0.44361979272833946,-0.08027925248740904,0.5093670877563498,-0.26553273456473514,-0.38995058819642014,1.0,0.7814981957366458,0.7336542193636136,0.01784850064118088,-0.18896405363419216,-0.2035383010475653,-0.08893730006768254,0.09421777239071055,-0.06249529948816781,-0.13231878429540392,-0.015413205463691083,0.0610755897356944,-0.02009497234540014,-0.12082346022523734,-0.11300434402408077,-0.4550842368611398,-0.08315790112106326,0.005089189458140767,0.005089189458140713,0.1642014192866231,-0.18250579459286018,-0.25955464620669355,-0.38992159933782383,-0.11424874521766903,-0.10157353180049496,-0.45912439589115045,-0.07703517394743212,0.21351691956571672,0.17501102502611401,0.175011025026114,0.3702142370071913,0.32132364110977313
updrs-iii,-0.4592268004368718,-0.022893977672067193,-0.4527800710465412,-0.03596375027880687,-0.07065784000334081,-0.05238757450277851,-0.1525404412062306,0.12388395250413611,-0.02789546650429233,0.1430031459360404,-0.13440159698495144,0.390934117994845,-0.10874699786967158,0.2909765799902971,-0.31329664190724826,-0.3130202303485708,0.7814981957366458,1.0,0.6201930929182142,0.07024855828964796,-0.21139784253339433,-0.3535533587885771,-0.08090367738929707,0.08874966226602302,-0.025289659441385243,-0.1610107195330214,-0.022328337435289194,-0.0208907912678943,-0.029275256249866134,-0.07383898304711731,0.040761118768536955,-0.44236095757400795,-0.07875695962183217,0.03854982595322866,0.03854982595322857,0.03223738896623205,-0.15208158823601603,-0.3129519642030594,-0.3129969604793359,-0.06799420141916465,0.04405036970633524,-0.4442196221521327,-0.0741635629070839,0.09597610729937384,0.05114218511025702,0.05114218511025704,0.31974073875151426,0.18640198670136063
h-y,-0.45810674679519503,0.05258485037659134,-0.3815985290518927,0.05100603956524244,0.025168149150249005,0.11642995965129307,-0.17058946422954288,0.3635717251941158,-0.0702033182723844,0.019552765246938216,0.04840810023929882,0.4103361709957539,0.03823184932970351,0.4574457827818145,-0.2851819826103625,-0.4350882689774591,0.7336542193636136,0.6201930929182142,1.0,0.027785129421902446,-0.24172986517738101,-0.3716091526324833,0.0900418274513966,-0.08020120166936771,0.11508322793364374,-0.17565271036115415,-0.09928213723151486,-0.10820445651395233,-0.11058425344298625,-0.16290936261202282,-0.18700756058898182,-0.36554947304229174,-0.07435621126608152,0.006751607334280846,0.006751607334280776,0.12168043502773021,-0.17007631845829643,-0.28367456815683,-0.4350559245915597,-0.1590923115072843,-0.17925925847850901,-0.37070447175570004,-0.07127741189444381,0.055364994810172555,0.02905406107277818,0.029054061072778165,0.38955948935707063,0.29380954072812265
tilt,-0.19613430417406333,-0.08707821780014213,-0.14425528518000238,-0.15632004436347025,-0.16025754638233206,-0.13059721202700758,-0.08095909020385195,-0.008066494980707887,-0.06981366537861708,0.0794871934166698,-0.023702417668383914,0.04594705826883405,0.001211530810204388,0.010484182587387201,0.04111992841596626,-0.013899208283410864,0.01784850064118088,0.07024855828964796,0.027785129421902446,1.0,0.3722824663515934,-0.009033897016410136,-0.000961364450383133,-0.020521753919647764,0.0010780354498459784,0.22139708712602402,0.07151793769914651,-0.23691897814148477,0.06333179379203215,0.060922976601591045,-0.03174077011330315,-0.05477840126808922,-0.023076176822412312,0.08490921784206074,0.08490921784206064,0.33478791796961094,-0.08353934538616917,0.0359001667763032,-0.01345393562587696,0.04758194865546392,-0.03741190369560216,-0.06254407522028985,-0.025979618309659423,0.02082548393520682,0.03738336789688176,0.03738336789688171,0.04913982812442963,0.003215482895488381
obliquity,0.28343221542737873,0.06716032450369427,0.3015575204703819,-0.24562676349431684,-0.16314508382189585,-0.2825608850698505,0.024863149891145908,-0.09061253015665868,0.08047662725441071,0.20314375752284575,0.008683979031391672,-0.12714694925707232,0.06137636594689224,-0.23810037443099324,0.0787287523110187,0.20964452819513582,-0.18896405363419216,-0.21139784253339433,-0.24172986517738101,0.3722824663515934,1.0,0.21786817057763883,-0.016874023888920866,0.010048182630831248,-0.02545156091128908,0.1031317946076337,0.08367826134669813,-0.05362612630283783,0.08079661743115915,0.07206660215558622,0.02018532261226142,0.11605765323473098,-0.17429059537618308,-0.18592753232326495,-0.18592753232326503,-0.026202337698752715,0.03846493145363964,0.08340935636634417,0.2074773384104158,0.066500394640772,0.013537290052096593,0.11767160742068838,-0.17102725546586012,-0.17130207179063478,-0.0774947943792918,-0.07749479437929187,-0.27396999987328463,-0.13035224764730147
rotation,0.14500257688782123,0.015577246297716962,0.12184294537728824,0.01580491761337565,0.0680265926470988,-0.016971863919910183,0.09494400662842933,-0.4100149438199155,-0.029646095728703296,0.0655266670845978,-0.22094346202381984,-0.18002320728304208,-0.13809188743892514,-0.2711077458834167,0.12068529576364793,0.2325241555087855,-0.2035383010475653,-0.3535533587885771,-0.3716091526324833,-0.009033897016410136,0.21786817057763883,1.0,-0.21451617636442957,0.20032169895511562,-0.2314490975086348,0.12526981081435754,0.20452888003850855,0.11588645132847289,0.1845970557782465,0.22592640661537908,-0.023473730821631355,0.26085169551050835,0.22815472567210776,0.06961516995614865,0.06961516995614868,0.09772086341265201,0.09104987437877181,0.11774889643928665,0.23307456594979273,0.2120142590189242,-0.03698439066800043,0.2571120898569307,0.21793590085406886,0.003114971250526856,-0.008396285642712624,-0.008396285642712612,-0.15643704005388584,-0.010458970723245767
stance,0.07141445200609484,-0.035600839223475754,0.1519256873894681,-0.04791859091566325,-0.11858251003154753,-0.033716823257000886,0.07478497344442726,0.3023951569308128,-0.14161084199985227,-0.2522965547860138,0.2517032016015175,-0.01493248410117708,0.2454315412497409,0.04032889024622776,0.03482298439702583,-0.2611830490778542,-0.08893730006768254,-0.08090367738929707,0.0900418274513966,-0.000961364450383133,-0.016874023888920866,-0.21451617636442957,1.0,-0.9947685891796654,0.912206370528816,-0.029471751600695626,0.007187045881430833,-0.1026112220369213,0.006684162792043879,-0.015785506711312736,0.016196186137146497,-0.03543755099160689,0.05506406863720992,0.05432788536195951,0.054327885361959524,0.14254427646156698,0.07312962313070673,0.03034486186150107,-0.26093860288712717,-0.006275966790264864,0.02201219596835101,-0.033737208132913275,0.05545681277181933,-0.11452647010322844,-0.11200596657401796,-0.11200596657401797,0.09833132623291502,-0.15326534518962712
swing,-0.07832608845103084,0.02265533804274553,-0.14929447529516257,0.04371398852729992,0.12217237114666465,0.029092769064886403,-0.06754649170414083,-0.31018662438073935,0.13481583334574287,0.25165875893425005,-0.25877524293793214,0.013210051640379646,-0.26110174813715326,-0.0338509393562696,-0.03823992302136955,0.2599587626440052,0.09421777239071055,0.08874966226602302,-0.08020120166936771,-0.020521753919647764,0.010048182630831248,0.20032169895511562,-0.9947685891796654,1.0,-0.9086411525238187,-0.059628188351531886,-0.009613163036879695,0.10975741878820243,-0.006549072966101662,0.009286976355093315,-0.019919292186669667,0.03854250559713206,-0.03745446931407916,-0.05421692412621175,-0.054216924126211735,-0.13796542829400116,-0.06494896188720045,-0.033363583988126826,0.2595627578550484,0.0004193359129147452,-0.025247363158782933,0.037330506574900425,-0.03738420713458696,0.11374221258177904,0.11087781503617308,0.11087781503617308,-0.0980489657887577,0.15055513899556863
double_support,0.05466849974897826,-0.010666638236803706,0.15216361617184265,-0.11161491501867304,-0.19855268248474708,-0.10195308087923473,0.13241287304488084,0.266259545941261,-0.12453074246586295,-0.18733608093107224,0.2077416130869651,0.008195212710373432,0.25903066183587303,0.009297222512707662,-0.017609161856160935,-0.27909550764532637,-0.06249529948816781,-0.025289659441385243,0.11508322793364374,0.0010780354498459784,-0.02545156091128908,-0.2314490975086348,0.912206370528816,-0.9086411525238187,1.0,-0.0304741456086656,-0.00822212457236145,-0.10784089487979767,-0.015433690253200082,-0.08512880730179782,0.06931036060928425,-0.11050733605565305,-0.010201935328714475,0.04193015864775492,0.04193015864775491,0.11527054282265871,0.12870200402883333,-0.023422728432810052,-0.2785536260027654,-0.07852385781041796,0.07245599308255228,-0.11047855748642633,-0.012163311541630601,-0.12389036770539154,-0.12253857895628058,-0.12253857895628052,0.16018596069306582,-0.14549715001402633
single_support,0.1069755656430336,0.04003729617472217,-0.065591922165908,0.05667160192246116,0.019573925430571983,0.036622473922628115,-0.07604211907905688,0.04052911379730135,0.12426000738124163,0.06960407701602005,0.07256570243142267,-0.0570722129975953,0.12190664916852,-0.10324134059355919,0.12974934301454236,0.12676657142752887,-0.13231878429540392,-0.1610107195330214,-0.17565271036115415,0.22139708712602402,0.1031317946076337,0.12526981081435754,-0.029471751600695626,-0.059628188351531886,-0.0304741456086656,1.0,0.015446398604613849,-0.060113367582252816,-0.0019765273177938525,0.14493865330831185,0.1362444015211862,-0.07669128996618532,-0.1221880433989176,0.030885478294503128,0.030885478294503166,-0.05468247279274882,-0.07632494540413269,0.12914036006828256,0.12683762753634048,0.14141529867553093,0.13281848284305742,-0.07779466627797815,-0.123844094239468,-0.03392220122116313,-0.026946550187482272,-0.026946550187482245,-0.14366919235896217,-0.04588613113900841
stride_length,-0.010846150084575264,-0.16222282648299668,-0.14768674892520725,0.08439601011375833,0.06621610264833505,0.0559115353711661,-0.11753072534190084,-0.3875066568843786,0.15275373996262775,0.10922529920317817,-0.40697083264094125,0.16161168003538995,-0.27479581576346757,0.16818016741662803,-0.07949244916770365,0.16301296034910073,-0.015413205463691083,-0.022328337435289194,-0.09928213723151486,0.07151793769914651,0.08367826134669813,0.20452888003850855,0.007187045881430833,-0.009613163036879695,-0.00822212457236145,0.015446398604613849,1.0,0.12514573369264345,0.9924320847968948,0.19545309388875917,0.14533811815081932,0.1959422105257159,0.14413084945762694,0.045089693214704525,0.04508969321470457,-0.07189613052568343,-0.11755543375985769,-0.08065000175887338,0.16306034839743933,0.19380181412750205,0.1434093608910962,0.19523376493214176,0.14378655878184388,-0.020639509564047732,-0.019970329043817195,-0.019970329043817143,0.051013327567737674,-0.08621880560143491
